Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report
532371,Tata Teleservices (Maharashtra) Ltd.,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,Active,A ,10.0,INE517B01013,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,17.89,N,16.51,Y,-29.01,Y,-14.82,Y,-19.85,Y,1946.76,N,C
532416,Next Mediaworks Ltd,NEXTMEDIA,NEXT MEDIAWORKS LTD.,Active,T ,10.0,INE747B01016,Media & Entertainment,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment,42.31,N,52.48,N,-2.95,Y,-12.66,Y,-6.76,Y,-1.43,Y,C
532481,Noida Toll Bridge Company Ltd,NOIDATOLL,NOIDA TOLL BRIDGE COMPANY LTD.,Active,T ,10.0,INE781B01015,Road Assets–Toll- Annuity- Hybrid-Annuity,Equity,Services,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity",1.89,N,19.71,N,10.68,Y,60.23,N,3.22,Y,257.92,N,C
532624,Jindal Photo Limited,JINDALPHOT,JINDAL PHOTO LTD.,Active,B ,10.0,INE796G01012,Household Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,-1.44,N,18.56,N,-14.26,Y,16.19,Y,6.71,Y,5554.2,N,C
532663,Sasken Technologies Limited,SASKEN,Sasken Technologies Ltd,Active,B ,10.0,INE231F01020,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,5.99,N,39.62,N,-2.44,Y,7.71,Y,34.94,Y,187.53,N,C
532686,Kernex Microsystems (India) Ltd.,KERNEX,KERNEX MICROSYSTEMS (INDIA) LTD.,Active,B ,10.0,INE202H01019,Transport Related Services,Equity,Services,Services,Transport Services,Transport Related Services,9.15,N,44.54,N,30.37,Y,32.23,Y,12.23,Y,3525.81,N,C
532716,Gillanders Arbuthnot & Co. Ltd.,GILLANDERS,GILLANDERS ARBUTHNOT & CO.LTD.,Active,B ,10.0,INE047B01011,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,3.21,N,29.51,N,-7.84,Y,0.09,Y,-11.49,Y,216.9,N,C
532805,Redington Limited,REDINGTON,Redington Ltd,Active,A ,2.0,INE891D01026,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,2.1,N,23.35,N,-21.46,Y,-24.3,Y,7.51,Y,182.9,N,C
532826,Raj Television Network Ltd,RAJTV,RAJ TELEVISION NETWORK LTD.,Active,T ,5.0,INE952H01027,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,8.21,N,45.73,N,-36.05,Y,-35.99,Y,-13.8,Y,15.41,Y,C
532834,Camlin Fine Sciences Ltd,CAMLINFINE,CAMLIN FINE SCIENCES LTD.,Active,B ,1.0,INE052I01032,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.21,N,26.24,N,-14.13,Y,-7.02,Y,-19.99,Y,52.72,N,C
532900,PAISALO DIGITAL LIMITED,PAISALO,Paisalo Digital Ltd,Active,A ,1.0,INE420C01059,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),17.26,N,22.1,N,-38.59,Y,-43.39,Y,5.94,Y,213.73,N,C
